asset_id,name,reason,folder_name,size_mb,exists,video_path
"review.u0118.video.2c328482b0","生姜水","loading_indicator_visible","review_u0118_video_2c328482b0","3.26","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0118_video_2c328482b0\video.mp4"
"review.u0123.video.95528198ed","蜂巢蜜","loading_indicator_visible","review_u0123_video_95528198ed","10.87","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0123_video_95528198ed\video.mp4"
"review.u0131.video.b36bf97ee8","称体重","loading_indicator_visible","review_u0131_video_b36bf97ee8","1.18","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0131_video_b36bf97ee8\video.mp4"
"review.u0140.video.15b5a0e7df","日常步行","catalog_marked_embedded","review_u0140_video_15b5a0e7df","13.67","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0140_video_15b5a0e7df\video.mp4"
"review.u0141.video.f5fa7e1647","站立上举运动","loading_indicator_visible","review_u0141_video_f5fa7e1647","5.87","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0141_video_f5fa7e1647\video.mp4"
"review.u0144.video.64dc59739c","菜市场猪肉","catalog_marked_embedded","review_u0144_video_64dc59739c","6.84","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0144_video_64dc59739c\video.mp4"
"review.u0150.video.670ab9b41a","煮鸡蛋","loading_indicator_visible","review_u0150_video_670ab9b41a","5.12","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0150_video_670ab9b41a\video.mp4"
"review.u0169.video.23fc32881d","泡脚","loading_indicator_visible","review_u0169_video_23fc32881d","12.26","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0169_video_23fc32881d\video.mp4"
"review.u0171.video.cc36577888","虾仁拌黄瓜","app_or_player_chrome_visible","review_u0171_video_cc36577888","6.81","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0171_video_cc36577888\video.mp4"
"review.u0174.video.d41ab7f8ab","鲜莲子","loading_indicator_visible","review_u0174_video_d41ab7f8ab","4.75","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0174_video_d41ab7f8ab\video.mp4"
"review.u0187.video.7aaf47316e","柚子","loading_indicator_visible","review_u0187_video_7aaf47316e","4.45","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0187_video_7aaf47316e\video.mp4"
"review.u0224.video.a73208368a","菠菜猪肝汤","app_or_player_chrome_visible","review_u0224_video_a73208368a","7.91","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0224_video_a73208368a\video.mp4"
"review.u0235.video.feb63d391f","意式咖啡萃取","app_or_player_chrome_visible","review_u0235_video_feb63d391f","4.44","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0235_video_feb63d391f\video.mp4"
"review.u0242.video.011aee5b2b","番茄采摘","loading_indicator_visible","review_u0242_video_011aee5b2b","8.13","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0242_video_011aee5b2b\video.mp4"
"review.u0264.video.5d53fbb619","蜂蜜","loading_indicator_visible","review_u0264_video_5d53fbb619","11.81","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0264_video_5d53fbb619\video.mp4"
"review.u0275.video.03be926bc5","紫菜虾皮鸡蛋汤","app_or_player_chrome_visible","review_u0275_video_03be926bc5","14.95","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0275_video_03be926bc5\video.mp4"
"review.u0280.video.946f759f1a","菜市场蔬菜","catalog_marked_embedded","review_u0280_video_946f759f1a","14.87","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0280_video_946f759f1a\video.mp4"
"review.u0291.video.6ab39a99c4","芹菜黄豆汤","app_or_player_chrome_visible","review_u0291_video_6ab39a99c4","23.34","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0291_video_6ab39a99c4\video.mp4"
"review.u0310.video.63b1064065","剥橙子","loading_indicator_visible","review_u0310_video_63b1064065","6.78","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0310_video_63b1064065\video.mp4"
"review.u0317.video.e79db70509","烧水","catalog_marked_embedded","review_u0317_video_e79db70509","13.12","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0317_video_e79db70509\video.mp4"
"review.u0325.video.a4ae2206b9","西红柿酸奶燕麦","play_button_visible","review_u0325_video_a4ae2206b9","15.56","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0325_video_a4ae2206b9\video.mp4"
"review.u0361.video.1e8db50869","黄瓜鸡蛋汤","app_or_player_chrome_visible","review_u0361_video_1e8db50869","6.74","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0361_video_1e8db50869\video.mp4"
"review.u0410.video.1aa5ad676c","油腻辛辣食物","loading_indicator_visible","review_u0410_video_1aa5ad676c","5.19","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0410_video_1aa5ad676c\video.mp4"
"review.u0421.video.3017691222","红薯","loading_indicator_visible","review_u0421_video_3017691222","3.24","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0421_video_3017691222\video.mp4"
"review.u0422.video.506d3e8a60","坐姿运动","app_or_player_chrome_visible","review_u0422_video_506d3e8a60","2.89","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0422_video_506d3e8a60\video.mp4"
"review.u0427.video.84d8c4717f","一杯水","play_button_visible","review_u0427_video_84d8c4717f","2.35","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0427_video_84d8c4717f\video.mp4"
"review.u0453.video.b4c6a6dcb6","草莓酸奶水果碗","catalog_marked_embedded","review_u0453_video_b4c6a6dcb6","8.43","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0453_video_b4c6a6dcb6\video.mp4"
"broll.20260814.001.video.0acd36aeb5","鱼丸青菜汤与韭黄炒鸡蛋","catalog_marked_embedded","broll_20260814_001_video_0acd36aeb5","4.92","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_001_video_0acd36aeb5\video.mp4"
"broll.20260814.012.video.40af9611e5","素食家常餐","catalog_marked_embedded","broll_20260814_012_video_40af9611e5","5.46","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_012_video_40af9611e5\video.mp4"
"broll.20260814.017.video.ab8e7a8cd1","湖边慢走休息","catalog_marked_embedded","broll_20260814_017_video_ab8e7a8cd1","4.36","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_017_video_ab8e7a8cd1\video.mp4"
"broll.20260814.018.video.bd046fca01","亲子家常晚餐","catalog_marked_embedded","broll_20260814_018_video_bd046fca01","19.29","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_018_video_bd046fca01\video.mp4"
"broll.20260814.021.video.fd64795cf2","丰盛家庭餐","catalog_marked_embedded","broll_20260814_021_video_fd64795cf2","53.76","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_021_video_fd64795cf2\video.mp4"
"broll.20260814.026.video.e74d4bb115","一日三餐餐盘","catalog_marked_embedded","broll_20260814_026_video_e74d4bb115","5.76","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_026_video_e74d4bb115\video.mp4"
"broll.20260814.029.video.68731f13cd","虾仁粗粮能量碗","catalog_marked_embedded","broll_20260814_029_video_68731f13cd","47.2","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_029_video_68731f13cd\video.mp4"
"broll.20260814.031.video.80eb4148e8","虾仁牛肉滑蛋藜麦饭","catalog_marked_embedded","broll_20260814_031_video_80eb4148e8","16.37","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\broll_20260814_031_video_80eb4148e8\video.mp4"
